id,S,E_adp,Fw_beta,Fbeta_max,MAE,IoU
COD10K-CAM-3-Flying-59-Grasshopper-3870,0.9515539925412111,,0.9449416090060505,,0.00820179097354412,0.9140218542927179
COD10K-CAM-3-Flying-60-Heron-3906,0.37248185453844035,,0.0003706982416006979,,0.15289032459259033,0.00018121262489600195
COD10K-CAM-3-Flying-60-Heron-3922,0.9697771011429044,,0.9542221914298906,,0.00084686279296875,0.9191355026600395
COD10K-CAM-3-Flying-61-Katydid-3950,0.739522347457297,,0.5837056726332825,,0.10754705965518951,0.5180291642403814
COD10K-CAM-3-Flying-61-Katydid-3964,0.6023421709032417,,0.5726692971814357,,0.0747162327170372,0.35709531245954135
COD10K-CAM-3-Flying-61-Katydid-4003,0.8636398857727006,,0.8792899252706186,,0.02384459413588047,0.7474925363108458
COD10K-CAM-3-Flying-61-Katydid-4021,0.2776420113499287,,0.0032166369109304393,,0.40386706590652466,0.001811546525602104
COD10K-CAM-3-Flying-61-Katydid-4075,0.8731836729789048,,0.8342734359113382,,0.004268646240234375,0.6926949835161781
COD10K-CAM-3-Flying-61-Katydid-4121,0.9822724450962625,,0.9719302162364559,,0.0015868599293753505,0.9294863665128124
COD10K-CAM-3-Flying-61-Katydid-4122,0.5052163230789486,,0.14789517880821845,,0.07692845910787582,0.13944095908538953
COD10K-CAM-3-Flying-61-Katydid-4156,0.5528513504864719,,0.31421144890501623,,0.07347869873046875,0.18871791991886797
COD10K-CAM-3-Flying-61-Katydid-4166,0.875251373646235,,0.8514810124572197,,0.023382822051644325,0.7208458572415204
COD10K-CAM-3-Flying-61-Katydid-4201,0.860600538434203,,0.8682646810843329,,0.017090830951929092,0.7340864096873551
COD10K-CAM-3-Flying-61-Katydid-4231,0.8987899230301706,,0.8747805252710837,,0.015945017337799072,0.7605964116140854
COD10K-CAM-3-Flying-62-Mantis-4247,0.8650566820578472,,0.7629595124600407,,0.009411550126969814,0.6988441683005215
COD10K-CAM-3-Flying-62-Mantis-4349,0.794513065497298,,0.8071557229810513,,0.024217037484049797,0.6337529419371801
COD10K-CAM-3-Flying-62-Mantis-4358,0.5074605043395188,,0.2115166479255952,,0.08285064250230789,0.12226169778498411
COD10K-CAM-3-Flying-63-Mockingbird-4427,0.9731571060019095,,0.9647459909487023,,0.0008218528237193823,0.9137080867624826
COD10K-CAM-3-Flying-64-Moth-4461,0.9859764085832513,,0.9893434361482932,,0.0022516129538416862,0.9715918340751936
COD10K-CAM-3-Flying-65-Owl-4533,0.864755733390136,,0.7554773096809341,,0.0020003088284283876,0.642199488474624
COD10K-CAM-3-Flying-65-Owl-4648,0.9623250105957012,,0.9771934284146044,,0.010120981372892857,0.9452751412177688
COD10K-CAM-3-Flying-66-Owlfly-4668,0.7486804139150343,,0.7597609755849624,,0.06030813232064247,0.6027271206285739
COD10K-CAM-4-Amphibian-67-Frog-4711,0.9846466310159345,,0.9835204990850226,,0.001361182308755815,0.9526391721757492
COD10K-CAM-4-Amphibian-68-Toad-4945,0.9637395201683012,,0.9508355485787544,,0.0023420341312885284,0.9139976897988343
